YEARNO,FireName,GISNO,NIFCNO,FireNumber,FORID,UniqueFireIdentifier,RelatedIrwinIDs,FireId,FireCode,FireType,Response,Landowner,Responder,FireUse,Cause,GeneralCause,SpecificCause,StartDate,IADate,ControlDate,OutDate,GIS_Acres,ControlAcr,UTME,UTMN,LongNAD83,LatNAD83,ContainDate,FireReport,Shape_Length,Shape_Area
1960.000000000000000,Crowley Ca,1960015.000000000000000,14.000000000000000,14.000000000000000,,,,210902.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,7/20/1960 0:00:00,7/22/1960 0:00:00,7/22/1960 0:00:00,8/10/1960 0:00:00,0.222451150000000,0.100000000000000,349468.000000000000000,4062501.000000000000000,-118.685079999999999,36.696260000000002,,,120.000600058441933,900.008999716620337
2013.000000000000000,Scenic Meadow,2013036.000000000000000,36.000000000000000,36.000000000000000,{758E9B4E-39EA-4B80-A70B-E88BA752889A},2013-CAKNP-000036,,661841.000000000000000,HNP3,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,7/4/2013 0:00:00,7/4/2013 0:00:00,8/26/2013 0:00:00,8/26/2013 0:00:00,0.222459730000000,0.100000000000000,356468.000000000000000,4060281.000000000000000,-118.606330000000000,36.677329999999998,,Fire reported by Buck Rock LO (on USFS).  H-552 responded and confirmed fire in single foxtail pine down on ground burning on tree trunk. Minimal fire behavior with 4"" flames.  Spread potential low. Deadman Canyon trail 1.5 miles to east. Meadow to NE good LZ.  No hazards known.  Fire monitored by air.,120.000000000000000,900.000000000000000
1987.000000000000000,Mitchell,1987043.000000000000000,43.000000000000000,43.000000000000000,,,,212652.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,6/27/1987 0:00:00,6/27/1987 0:00:00,6/27/1987 0:00:00,7/23/1987 0:00:00,0.222448680000000,1.000000000000000,348315.000000000000000,4066493.000000000000000,-118.698769999999996,36.732039999999998,,,120.000300053853692,900.004499675295165
2007.000000000000000,Sphinx,2007024.000000000000000,24.000000000000000,24.000000000000000,{4BD6F670-6CE2-410B-A5E4-C5165BF719A8},2007-CAKNP-000024,,549079.000000000000000,DNC7,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,7/6/2007 0:00:00,7/6/2007 0:00:00,9/1/2007 0:00:00,9/16/2007 0:00:00,0.222472550000000,2.000000000000000,364600.000000000000000,4066116.000000000000000,-118.516379999999998,36.731110000000001,,"Lightning ignited a small fire in the lower Sphinx Lakes area to the NW of Mt. Brewer.  The Sphinx fire was discovered by H-OVR while flying to the Inyo Complex.  It was .1 acres and burning in a single tree with very sparse fuels nearby.  Due to its remote location and elevation, it was determined to allow this fire to burn for resource benefit, it thus became incident number CA-KNP-0012.  The fire was monitored by aircraft until it was declared outon 9/16/07 at 2 acres, by DFMO Rosso.",120.000000000000000,900.000000000000000
1984.000000000000000,Over The H,1984018.000000000000000,5698.000000000000000,5698.000000000000000,,,,212415.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Recreation and ceremony,Campfire,7/9/1984 0:00:00,7/9/1984 0:00:00,7/9/1984 0:00:00,7/15/1984 0:00:00,0.222461770000000,0.100000000000000,355554.000000000000000,4048532.000000000000000,-118.614350000000002,36.571320000000000,,,120.000900049167413,900.013499735007144
1969.000000000000000,Marble For,1969057.000000000000000,9061.000000000000000,9061.000000000000000,,,,211397.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,9/29/1969 0:00:00,9/29/1969 0:00:00,9/29/1969 0:00:00,9/29/1969 0:00:00,0.222439890000000,0.100000000000000,341007.000000000000000,4049890.000000000000000,-118.777140000000003,36.581249999999997,,,120.001500020814404,900.022500039718125
1977.000000000000000,Last Chanc,1977038.000000000000000,7010.000000000000000,7010.000000000000000,,,,211961.000000000000000, ,DF,Full Suppression,NPS,NPS,No,Human,Debris and open burning,Other,10/4/1977 0:00:00,10/4/1977 0:00:00,10/4/1977 0:00:00,10/7/1977 0:00:00,0.222419920000000,1.000000000000000,329711.000000000000000,4061560.000000000000000,-118.905929999999998,36.684440000000002,,,120.001600022742480,900.023999961139907
1990.000000000000000,Potwisha 1,1990002.000000000000000,2.000000000000000,2.000000000000000,,,,212982.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Recreation and ceremony,Campfire,5/15/1990 0:00:00,5/15/1990 0:00:00,5/15/1990 0:00:00,5/15/1990 0:00:00,0.222435550000000,0.100000000000000,338745.000000000000000,4042882.000000000000000,-118.800939999999997,36.517719999999997,,,120.001400020498863,900.020799908292702
1930.000000000000000,Paradise C,1930003.000000000000000,1.000000000000000,1.000000000000000,,,,209919.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Firearm and explosives use,Blasting,6/25/1930 0:00:00,6/25/1930 0:00:00,6/25/1930 0:00:00,6/25/1930 0:00:00,0.222442260000000,0.100000000000000,342570.000000000000000,4041747.000000000000000,-118.758009999999999,36.508130000000001,,,120.001300021154222,900.019499984814502
1960.000000000000000,Clover Crk,1960043.000000000000000,43.000000000000000,43.000000000000000,,,,210931.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,7/29/1960 0:00:00,8/5/1960 0:00:00,8/6/1960 0:00:00,8/12/1960 0:00:00,0.222454190000000,0.100000000000000,351324.000000000000000,4030246.000000000000000,-118.658090000000001,36.405889999999999,,,120.000700043320876,900.010555537068967
